2023-03-04 11:19:09 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-03-04 11:19:09 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.6.Final
2023-03-04 11:19:09 [main] WARN  org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-03-04 11:19:10 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-04 11:19:10 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2aafa84f
2023-03-04 11:19:10 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-04 11:19:10 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-03-04 11:19:14 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-03-04 11:19:14 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-03-04 11:19:16 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-03-04 11:19:17 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2023-03-04 11:19:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18e0f894, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2623ad23, org.springframework.security.web.context.SecurityContextHolderFilter@142f0ac1, org.springframework.security.web.header.HeaderWriterFilter@3c22a99a, org.springframework.security.web.authentication.logout.LogoutFilter@fb79241, com.metro.config.security.JwtAuthenticationFilter@7e6025c9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5967492a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@f4a21cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e03b52f, org.springframework.security.web.session.SessionManagementFilter@28d48616, org.springframework.security.web.access.ExceptionTranslationFilter@446dea16, org.springframework.security.web.access.intercept.AuthorizationFilter@33a1bb90]
2023-03-04 11:19:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8201"]
2023-03-04 11:19:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8201 (http) with context path ''
2023-03-04 11:19:18 [main] INFO  com.metro.HrApplication - Started HrApplication in 13.81 seconds (process running for 15.233)
2023-03-04 11:19:19 [RMI TCP Connection(8)-172.28.176.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-04 11:19:19 [RMI TCP Connection(8)-172.28.176.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-04 11:19:19 [RMI TCP Connection(8)-172.28.176.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-03-04 11:20:10 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-03-04 11:20:10 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-04 11:20:10 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-03-04 11:20:18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-03-04 11:20:18 [main] INFO  com.metro.HrApplication - Starting HrApplication using Java 18 with PID 12132 (C:\Users\MIAN\Learning\spring-boot-3-jwt-security-main\target\classes started by mwairimu in C:\Users\MIAN\Learning\spring-boot-3-jwt-security-main)
2023-03-04 11:20:18 [main] INFO  com.metro.HrApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-04 11:20:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-03-04 11:20:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 192 ms. Found 31 JPA repository interfaces.
2023-03-04 11:20:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8201 (http)
2023-03-04 11:20:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8201"]
2023-03-04 11:20:20 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-04 11:20:20 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-03-04 11:20:20 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-04 11:20:20 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2327 ms
2023-03-04 11:20:20 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-03-04 11:20:20 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.6.Final
2023-03-04 11:20:21 [main] WARN  org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-03-04 11:20:21 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-04 11:20:21 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@24e2355c
2023-03-04 11:20:21 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-04 11:20:21 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-03-04 11:20:23 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2023-03-04 11:20:23 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_lc1sij60969nsgl5cy8bfgbsm" of relation "auth_role" does not exist, skipping
2023-03-04 11:20:24 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-03-04 11:20:24 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-03-04 11:20:25 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-03-04 11:20:26 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 13 endpoint(s) beneath base path '/actuator'
2023-03-04 11:20:26 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79c4c973, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18e0f894, org.springframework.security.web.context.SecurityContextHolderFilter@3f7d20c5, org.springframework.security.web.header.HeaderWriterFilter@28817763, org.springframework.security.web.authentication.logout.LogoutFilter@da8853c, com.metro.config.security.JwtAuthenticationFilter@77d03738, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1847da64, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5967492a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2623ad23, org.springframework.security.web.session.SessionManagementFilter@6e18bc2f, org.springframework.security.web.access.ExceptionTranslationFilter@6f272dc4, org.springframework.security.web.access.intercept.AuthorizationFilter@71cdb24]
2023-03-04 11:20:27 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8201"]
2023-03-04 11:20:27 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8201 (http) with context path ''
2023-03-04 11:20:27 [main] INFO  com.metro.HrApplication - Started HrApplication in 9.932 seconds (process running for 10.926)
2023-03-04 11:20:28 [RMI TCP Connection(3)-172.28.176.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-04 11:20:28 [RMI TCP Connection(3)-172.28.176.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-04 11:20:28 [RMI TCP Connection(3)-172.28.176.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
